metric,bucket,bucket_label,bucket_min,bucket_max,threshold,sample_count,arrival_rate
return_std_1m_5m,18,Q18,0.0004810985,0.0005089814,0.52,269,0.973978
return_std_1m_5m,18,Q18,0.0004810985,0.0005089814,0.53,269,0.951673
return_std_1m_5m,18,Q18,0.0004810985,0.0005089814,0.54,269,0.933086
return_std_1m_5m,18,Q18,0.0004810985,0.0005089814,0.55,269,0.929368
return_std_1m_5m,18,Q18,0.0004810985,0.0005089814,0.56,269,0.895911
return_std_1m_5m,18,Q18,0.0004810985,0.0005089814,0.57,269,0.892193
return_std_1m_5m,18,Q18,0.0004810985,0.0005089814,0.58,269,0.877323
return_std_1m_5m,19,Q19,0.0005090688,0.0005369980,0.52,268,0.970149
return_std_1m_5m,19,Q19,0.0005090688,0.0005369980,0.53,268,0.962687
return_std_1m_5m,19,Q19,0.0005090688,0.0005369980,0.54,268,0.940299
return_std_1m_5m,19,Q19,0.0005090688,0.0005369980,0.55,268,0.914179
return_std_1m_5m,19,Q19,0.0005090688,0.0005369980,0.56,268,0.895522
return_std_1m_5m,19,Q19,0.0005090688,0.0005369980,0.57,268,0.888060
return_std_1m_5m,19,Q19,0.0005090688,0.0005369980,0.58,268,0.869403
return_std_1m_5m,20,Q20,0.0005372844,0.0005707881,0.52,269,0.966543
